datetime,RealYield
2024-01-01 00:00:00+00:00,1.7690283131184503
2024-01-02 00:00:00+00:00,1.7040402393872003
2024-01-03 00:00:00+00:00,1.7903619412570042
2024-01-04 00:00:00+00:00,1.7622167675559648
2024-01-05 00:00:00+00:00,1.7311436198357364
2024-01-06 00:00:00+00:00,1.7689905714181435
2024-01-07 00:00:00+00:00,1.7427422002309798
2024-01-08 00:00:00+00:00,1.7974306966159965
2024-01-09 00:00:00+00:00,1.8676247039414087
2024-01-10 00:00:00+00:00,1.8303783749714506
2024-01-11 00:00:00+00:00,1.7749845246590041
2024-01-12 00:00:00+00:00,1.7787573000179082
2024-01-13 00:00:00+00:00,1.7303529479560638
2024-01-14 00:00:00+00:00,1.759898615482588
2024-01-15 00:00:00+00:00,1.7070388365705405
2024-01-16 00:00:00+00:00,1.7915688931430132
2024-01-17 00:00:00+00:00,1.6915189409644642
2024-01-18 00:00:00+00:00,1.6869128334220873
2024-01-19 00:00:00+00:00,1.73450079563529
2024-01-20 00:00:00+00:00,1.7084468763262513
2024-01-21 00:00:00+00:00,1.776692851927129
2024-01-22 00:00:00+00:00,1.7247855157671095
2024-01-23 00:00:00+00:00,1.714176598230452
2024-01-24 00:00:00+00:00,1.7650703814890312
2024-01-25 00:00:00+00:00,1.7115618370091752
2024-01-26 00:00:00+00:00,1.7266999986218712
2024-01-27 00:00:00+00:00,1.77499027947558
2024-01-28 00:00:00+00:00,1.7501705402432493
2024-01-29 00:00:00+00:00,1.7425560283401609
2024-01-30 00:00:00+00:00,1.7834622270737017
2024-01-31 00:00:00+00:00,1.8065016099077715
2024-02-01 00:00:00+00:00,1.7802870102491224
2024-02-02 00:00:00+00:00,1.7956121866744976
2024-02-03 00:00:00+00:00,1.7212217304981765
2024-02-04 00:00:00+00:00,1.818326321513556
2024-02-05 00:00:00+00:00,1.7314163195265657
2024-02-06 00:00:00+00:00,1.7340520384767653
2024-02-07 00:00:00+00:00,1.6770860845603015
2024-02-08 00:00:00+00:00,1.7653607896025139
2024-02-09 00:00:00+00:00,1.705414336804095
2024-02-10 00:00:00+00:00,1.6928198825761924
2024-02-11 00:00:00+00:00,1.7888615008229307
2024-02-12 00:00:00+00:00,1.7425040158810903
